Track 2: Piano left
MetaMessage('track_name', name='Piano left', time=0)
note_on channel=0 note=53 velocity=0 time=70
note_on channel=0 note=64 velocity=37 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=53 velocity=36 time=0
note_on channel=0 note=58 velocity=36 time=0
note_on channel=0 note=55 velocity=36 time=0
note_on channel=0 note=55 velocity=0 time=120
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=64 velocity=36 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=53 velocity=36 time=0
note_on channel=0 note=55 velocity=36 time=0
note_on channel=0 note=58 velocity=36 time=0
note_on channel=0 note=58 velocity=0 time=120
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=64 velocity=36 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=53 velocity=44 time=0
control_change channel=0 control=64 value=0 time=10
control_change channel=0 control=64 value=127 time=61
note_on channel=0 note=53 velocity=0 time=49
note_on channel=0 note=57 velocity=36 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=60 velocity=36 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=57 velocity=36 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=60 velocity=36 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=57 velocity=36 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=53 velocity=42 time=0
control_change channel=0 control=64 value=0 time=8
control_change channel=0 control=64 value=127 time=66
note_on channel=0 note=53 velocity=0 time=46
note_on channel=0 note=57 velocity=34 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=60 velocity=35 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=57 velocity=36 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=60 velocity=38 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=57 velocity=39 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=52 velocity=49 time=0
control_change channel=0 control=64 value=0 time=14
control_change channel=0 control=64 value=127 time=64
note_on channel=0 note=52 velocity=0 time=42
note_on channel=0 note=57 velocity=38 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=60 velocity=38 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=57 velocity=38 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=50 velocity=38 time=0
note_on channel=0 note=62 velocity=38 time=0
control_change channel=0 control=64 value=0 time=8
control_change channel=0 control=64 value=127 time=63
note_on channel=0 note=62 velocity=0 time=49
note_on channel=0 note=50 velocity=0 time=0
note_on channel=0 note=53 velocity=38 time=0
note_on channel=0 note=53 velocity=0 time=120
note_on channel=0 note=55 velocity=47 time=0
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=67
note_on channel=0 note=55 velocity=0 time=42
note_on channel=0 note=64 velocity=38 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=55 velocity=40 time=0
note_on channel=0 note=55 velocity=0 time=120
note_on channel=0 note=64 velocity=38 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=55 velocity=41 time=0
control_change channel=0 control=64 value=0 time=9
control_change channel=0 control=64 value=127 time=40
note_on channel=0 note=55 velocity=0 time=71
note_on channel=0 note=65 velocity=38 time=0
note_on channel=0 note=65 velocity=0 time=120
note_on channel=0 note=60 velocity=45 time=0
note_on channel=0 note=64 velocity=45 time=0
control_change channel=0 control=64 value=0 time=3
control_change channel=0 control=64 value=127 time=29
note_on channel=0 note=64 velocity=0 time=208
note_on channel=0 note=60 velocity=0 time=0
control_change channel=0 control=64 value=0 time=109
note_on channel=0 note=65 velocity=40 time=11
note_on channel=0 note=67 velocity=40 time=0
note_on channel=0 note=67 velocity=0 time=90
note_on channel=0 note=65 velocity=0 time=0
