Track 1: Piano right
MetaMessage('track_name', name='Piano right', time=0)
note_on channel=0 note=79 velocity=0 time=480
note_on channel=0 note=77 velocity=37 time=0
note_on channel=0 note=77 velocity=0 time=480
note_on channel=0 note=74 velocity=33 time=0
note_on channel=0 note=74 velocity=0 time=480
note_on channel=0 note=75 velocity=38 time=0
note_on channel=0 note=75 velocity=0 time=480
note_on channel=0 note=72 velocity=30 time=0
note_on channel=0 note=72 velocity=0 time=480
note_on channel=0 note=71 velocity=35 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=72 velocity=28 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=74 velocity=33 time=0
note_on channel=0 note=74 velocity=0 time=240
note_on channel=0 note=71 velocity=30 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=67 velocity=36 time=0
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=67 velocity=32 time=300
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=79 velocity=56 time=300
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=67 velocity=40 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=79 velocity=51 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=67 velocity=35 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=79 velocity=50 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=67 velocity=36 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=79 velocity=50 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=67 velocity=40 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=79 velocity=59 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=67 velocity=43 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=79 velocity=51 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=67 velocity=39 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=79 velocity=49 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=67 velocity=37 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=79 velocity=47 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=67 velocity=37 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=74 velocity=51 time=0
note_on channel=0 note=75 velocity=43 time=240
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=77 velocity=50 time=216
note_on channel=0 note=75 velocity=0 time=24
note_on channel=0 note=74 velocity=48 time=216
note_on channel=0 note=77 velocity=0 time=24
note_on channel=0 note=77 velocity=60 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=75 velocity=48 time=216
note_on channel=0 note=77 velocity=0 time=24
note_on channel=0 note=74 velocity=54 time=216
note_on channel=0 note=75 velocity=0 time=24
note_on channel=0 note=72 velocity=48 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=79 velocity=61 time=216
note_on channel=0 note=71 velocity=61 time=0
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=71 velocity=0 time=456
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=60 velocity=37 time=1440
note_on channel=0 note=60 velocity=0 time=480
note_on channel=0 note=64 velocity=30 time=0
